Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,AVG
Algeria,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,13,0,0,0,0,0,0,0,0,0,0,1.181818182
Burkina Faso,0,0,0,14.1,0,0,0,0,0,0,0,1.281818182
Burundi,0,0,0,12.9,0,0,0,0,0,0,0,1.172727273
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,13.7,0,0,0,0,0,0,0,1.245454545
Chad,0,0,0,19.9,0,0,0,0,0,0,0,1.809090909
Comoros,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",9.6,0,0,9.5,0,0,0,0,0,0,0,1.736363636
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0
"Egypt, Arab Rep.",0,13,0,0,0,0,0,0,0,0,0,1.181818182
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",0,0,0,10.2,0,0,0,0,0,0,0,0.927272727
Ghana,0,13.4,0,0,10.7,0,0,0,0,0,0,2.190909091
Guinea,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,11,0,0,0,0,0,0,0,1
Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,8,0,0,0,0,0,0,0,0,0.727272727
Lesotho,0,0,10.7,0,0,0,0,0,0,0,0,0.972727273
Liberia,14,0,0,0,0,0,0,0,0,0,0,1.272727273
Libya,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,0,0,16,0,0,0,0,0,0,0,0,1.454545455
Malawi,0,0,0,13.5,0,0,0,0,0,0,0,1.227272727
Mali,0,0,0,18,0,0,0,0,0,0,0,1.636363636
Mauritania,33.7,0,0,0,34.7,0,0,0,0,0,0,6.218181818
Mauritius,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,0,16,0,0,16.9,0,0,0,0,0,0,2.990909091
Namibia,16,0,0,0,0,0,0,0,0,0,0,1.454545455
Niger,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,0,11.7,0,0,15.2,0,0,0,0,0,0,2.445454545
Rwanda,0,0,0,7.1,0,0,0,0,0,0,0,0.645454545
Sao Tome and Principe,0,0,9.9,0,0,0,0,0,0,0,0,0.9
Senegal,0,0,0,0,18.6,0,0,0,0,0,0,1.690909091
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,13.6,0,10.5,0,0,0,0,0,0,0,2.190909091
Somalia,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,0,0,0,8.4,0,0,0,0,0,0,0,0.763636364
Togo,0,0,0,11.1,0,0,0,0,0,0,0,1.009090909
Tunisia,0,0,0,0,0,6.9,0,0,0,0,0,0.627272727
Uganda,0,0,0,0,11.8,0,0,0,0,0,0,1.072727273
Zambia,11,0,0,0,0,0,0,0,0,0,0,1
Zimbabwe,0,0,0,0,11,0,0,0,0,0,0,1
